Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ee0a37751896a071b22e8a,65cee11fd5cb921a108c988d,APPROVED,Not Applicable,2024-03-10T19:30:03.810000Z,2024-03-10T19:38:49.824000Z,2024-03-10T19:38:50.362000Z,2024-03-10T19:38:50.591345Z,527.0,C107BK71,103,45,Female,Asian,United States,United States,United States,English,No,Full-Time
65ee0a3ac2c09681c2b91ae4,5dd1173e19eecb1b17f7e2e0,APPROVED,Not Applicable,2024-03-10T19:30:05.533000Z,2024-03-10T19:40:20.733000Z,2024-03-10T19:45:03.793000Z,2024-03-10T19:46:00.499051Z,616.0,C107BK71,539,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a3ef9406c8587212e18,5eb9c4d92f9f740fb8418f8d,APPROVED,Not Applicable,2024-03-10T19:30:24.813000Z,2024-03-10T19:39:29.396000Z,2024-03-10T19:39:30.093000Z,2024-03-10T19:39:30.214258Z,545.0,C107BK71,553,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0a3f466760163e01b26d,5d5334fa962bb7001bc3fa2f,APPROVED,Not Applicable,2024-03-10T19:30:16.018000Z,2024-03-10T19:42:08.722000Z,2024-03-10T19:45:27.201000Z,2024-03-10T19:46:09.944495Z,713.0,C107BK71,761,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ee0a4771d694ba071220b9,587b38ec3962c30001276c81,APPROVED,Not Applicable,2024-03-10T19:30:21.034000Z,2024-03-10T19:40:09.612000Z,2024-03-10T19:45:07.820000Z,2024-03-10T19:46:00.116068Z,589.0,C107BK71,2358,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65ee0a47e8a12b0752b46cb7,65c8f89aa7dc9db70e310fe1,APPROVED,Not Applicable,2024-03-10T19:30:20.894000Z,2024-03-10T19:38:07.332000Z,2024-03-10T19:38:18.290000Z,2024-03-10T19:38:10.053778Z,467.0,C107BK71,62,25,Female,Other,United States,United States,United States,English,No,Part-Time
65ee0a4d143b6e691993e4ce,59d4e426c618a50001cf5cab,APPROVED,Not Applicable,2024-03-10T19:30:21.300000Z,2024-03-10T19:42:16.010000Z,2024-03-10T19:45:23.135000Z,2024-03-10T19:46:10.479428Z,715.0,C107BK71,804,74,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ee0a53d55abbe87ac7d385,5cec60a0de266200191eb2c9,APPROVED,Not Applicable,2024-03-10T19:30:30.361000Z,2024-03-10T19:44:36.943000Z,2024-03-10T19:45:50.176000Z,2024-03-10T20:45:51.702076Z,847.0,C107BK71,739,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ee0a556250720f071c69d4,602d25c3cc46516b77b98c28,APPROVED,Not Applicable,2024-03-10T19:37:34.082000Z,2024-03-10T20:08:22.356000Z,2024-03-10T20:08:23.919000Z,2024-03-10T20:08:24.864475Z,1849.0,C107BK71,370,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
65ee0a58e612d11cfcb8e821,5efc9190d8b4ba050a97f67d,APPROVED,Not Applicable,2024-03-10T19:30:37.427000Z,2024-03-10T19:37:10.151000Z,2024-03-10T19:38:14.828000Z,2024-03-10T19:37:11.422386Z,393.0,C107BK71,1118,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
