Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65afed37ae0eecce0e5d459c,602148bc7ae6490b338655e6,APPROVED,2024-01-23T16:45:49.128000Z,2024-01-23T16:51:36.468000Z,2024-01-23T16:51:37.233000Z,2024-01-23T16:51:37.740528Z,348.0,C107BK71,556,47,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
65afed39fdefdff4816f6aa3,55a430ddfdf99b02ff6caf22,APPROVED,2024-01-23T16:45:59.558000Z,2024-01-23T16:54:14.227000Z,2024-01-23T16:54:14.836000Z,2024-01-23T16:54:15.135631Z,495.0,C107BK71,973,40,Male,White,United States,United States,United States,English,No,Full-Time,
65afed3c3fbd3b1e92e7f2f3,615af0e93737769ed4c2abe4,APPROVED,2024-01-23T16:45:53.263000Z,2024-01-23T16:54:56.136000Z,2024-01-23T16:54:56.708000Z,2024-01-23T16:54:57.030656Z,543.0,C107BK71,306,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
65afed3d1594e7b33c6cda2f,5552121afdf99b74d81d09ef,REJECTED,2024-01-23T16:47:22.581000Z,2024-01-23T16:51:52.572000Z,2024-02-06T09:18:31.849000Z,2024-03-01T10:21:34.993055Z,270.0,C1BH0PQA,846,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afed415fcafefa96d329e0,63a1739c29a6f3c9450e95ec,APPROVED,2024-01-23T16:46:01.022000Z,2024-01-23T16:55:34.274000Z,2024-01-23T16:55:35.038000Z,2024-01-23T16:55:35.730543Z,574.0,C107BK71,138,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
65afed566f877616b93cdd5b,63e51cf7b6d21fa5fc4e82cd,RETURNED,2024-01-23T16:46:18.765000Z,2024-01-23T16:49:38.961000Z,,2024-03-01T10:21:34.995982Z,,C1BH0PQA,202,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afed75853678d26e106e1d,5e418553f2f6bc011cbfe69a,APPROVED,2024-01-23T16:46:53.657000Z,2024-01-23T16:56:31.165000Z,2024-01-23T16:56:32.311000Z,2024-01-23T16:56:32.612952Z,578.0,C107BK71,1016,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65afed7a2f50bc65486005c6,5fb7df07d137543e4ca86861,TIMED-OUT,2024-01-23T16:47:08.595000Z,,,2024-03-01T10:21:35.001574Z,3260067.0,,1219,33,Male,Asian,United Kingdom,United Kingdom,United Kingdom,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65afed7ca26da11a7533d081,5a69fb84eeef45000138d276,APPROVED,2024-01-23T16:47:00.500000Z,2024-01-23T16:55:42.731000Z,2024-01-23T16:55:43.480000Z,2024-01-23T16:55:43.940990Z,523.0,C107BK71,615,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
65afed87ae0eecce0e5d45b7,600a119359a03a158d4f70dd,APPROVED,2024-01-23T16:47:07.274000Z,2024-01-23T16:55:38.860000Z,2024-01-23T16:55:39.464000Z,2024-01-23T16:55:39.933697Z,512.0,C107BK71,609,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
65afed8a163bb9c17bb42bbf,5bd075779afb5b00015b6791,RETURNED,2024-01-23T16:47:06.265000Z,,,2024-03-01T10:21:35.001135Z,,,2135,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65afed8c98b0e53260255420,634da1de877425cde2d72511,APPROVED,2024-01-23T16:47:11.276000Z,2024-01-23T16:57:39.263000Z,2024-01-23T16:57:39.799000Z,2024-01-23T16:57:40.184980Z,628.0,C107BK71,340,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
